Member Phone No,ActSpeedDS,ActSpeedUS,ActAvgDaySpontResyncs,ActDSLStability,ActDSLConnType,DSLAMName,LWC,Urbanistion,UBAForecast,EstAttn160Hi,EstAttn160Lo,EstDSSpeedHi,EstDSSpeedLo,EstUSSpeedHi,EstUSSpeedLo,EUBA,BUBA,WVS,LAPRestriction,CabnietisationDate,CabnetisationName,Locality Id,Connector Id,Line_Sharing_Cable_Pair,LWC_Is_Cabinet,BUBA_Coverage_Area,EUBA_Coverage_Area,Baseband_Copper_Capable,ActBBProductType
,,,,,,,,,,,,,,,,,,,,,,,BE24/2,,Y,South Canterbury,,N,BUBA
ASID,,,,,,DSLAM,,,,,,,,,,,,,,,,,M22/1,,N,Otago,DUNEDIN CENT,Y,BUBA
1234567890,,,,,,AA-AAA-DSLAM-00,,,,,,,,,,,,,,,,,TL58/806,,Y,Otago,,N,BUBA
,,,,,,AAA-DSLAM-00,,,,,,,,,,,,,,,,,FF55/64,,Y,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,AA-DSLAM-00,,,,,,,,,,,,,,,,,S5/9,,Y,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FD65/18,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CP79/2,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,S21/4,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AB60/4,,N,South Canterbury,CROMWELL,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K21/14,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,ER59/1,,Y,Otago,DUNEDIN CENT,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM22/918,,Y,Otago,DUNEDIN CENT,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,I24/48,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,J23/8,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,Q23/19,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DH44/26,,N,South Canterbury,ALEXANDRA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AE19/2,,N,South Canterbury,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FE56/57,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FB64/14,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,H24/3,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FA64/10,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EB62/3,,N,South Canterbury,TIMARU,Y,BUBA
